article_id,title,author_id,published_at,created_at,view_count,read_time,cover_image_name,cover_image_url,category_ids,tag_ids
110,this is a test article,43,2026-05-11 22:28:10.334046+00:00,2026-05-11 22:28:10.334046+00:00,5,1,,,"2,11,9","31,15,5"
109,this is an article,25,2026-05-11 22:24:23.163954+00:00,2026-05-11 22:24:23.163954+00:00,0,1,,,2,"6,19,26"
108,test article,25,2026-05-11 22:22:04.622308+00:00,2026-05-11 22:22:04.622308+00:00,0,1,articles/covers/WhatsApp_Image_2026-05-10_at_16.04.28_gtyN9Pb.jpeg,/media/articles/covers/WhatsApp_Image_2026-05-10_at_16.04.28_gtyN9Pb.jpeg,"7,6,1","31,15,5"
106,test norification,25,2026-05-11 19:08:24.989096+00:00,2026-05-11 19:08:24.989096+00:00,26,1,articles/covers/WhatsApp_Image_2026-05-10_at_16.04.28.jpeg,/media/articles/covers/WhatsApp_Image_2026-05-10_at_16.04.28.jpeg,"2,11,9","31,15"
105,test article,38,2026-05-11 18:34:20.388931+00:00,2026-05-11 18:34:20.388931+00:00,2,1,articles/covers/sequence.png,/media/articles/covers/sequence.png,"2,11,9",
104,Data Engineering Best Practices,6,2026-05-10 12:44:37.970057+00:00,2026-05-10 12:44:37.970057+00:00,280,2,articles/covers/cover_data-engineering-best-practices-1.jpg,/media/articles/covers/cover_data-engineering-best-practices-1.jpg,"4,10","31,19,16,43,12"
102,Building High-Performance Web Applications,20,2026-05-10 12:44:34.018025+00:00,2026-05-10 12:44:34.018025+00:00,3677,2,articles/covers/cover_building-high-performance-web-applications-1.jpg,/media/articles/covers/cover_building-high-performance-web-applications-1.jpg,11,"43,14,20"
101,Introduction to Serverless Architecture,27,2026-05-10 12:44:31.834472+00:00,2026-05-10 12:44:31.834472+00:00,4330,2,articles/covers/cover_introduction-to-serverless-architecture-1.jpg,/media/articles/covers/cover_introduction-to-serverless-architecture-1.jpg,"2,1","2,39,30,25"
100,The Role of DevOps in Modern Development,32,2026-05-10 12:44:29.756977+00:00,2026-05-10 12:44:29.756977+00:00,1305,2,articles/covers/cover_the-role-of-devops-in-modern-development-1.jpg,/media/articles/covers/cover_the-role-of-devops-in-modern-development-1.jpg,11,"20,35,25"
98,Building Secure Authentication Systems,7,2026-05-10 12:44:25.934423+00:00,2026-05-10 12:44:25.934423+00:00,842,2,articles/covers/cover_building-secure-authentication-systems-1.jpg,/media/articles/covers/cover_building-secure-authentication-systems-1.jpg,"7,6","5,46,23,40,38"
97,The Evolution of JavaScript Frameworks,31,2026-05-10 12:44:23.976593+00:00,2026-05-10 12:44:23.976593+00:00,4916,1,articles/covers/cover_the-evolution-of-javascript-frameworks-1.jpg,/media/articles/covers/cover_the-evolution-of-javascript-frameworks-1.jpg,8,"15,24,11,16,8,32"
96,Database Sharding Strategies,2,2026-05-10 12:44:21.523352+00:00,2026-05-10 12:44:21.523352+00:00,4170,2,articles/covers/cover_database-sharding-strategies-1.jpg,/media/articles/covers/cover_database-sharding-strategies-1.jpg,"5,10","34,7,42,29,3"
95,Modern CSS Techniques for 2024,31,2026-05-10 12:44:19.763250+00:00,2026-05-10 12:44:19.763250+00:00,2428,2,articles/covers/cover_modern-css-techniques-for-2024-1.jpg,/media/articles/covers/cover_modern-css-techniques-for-2024-1.jpg,"9,6","7,9,29,17,33,28"
94,Building Resilient Distributed Systems,5,2026-05-10 12:44:18.081134+00:00,2026-05-10 12:44:18.081134+00:00,4126,2,articles/covers/cover_building-resilient-distributed-systems-1.jpg,/media/articles/covers/cover_building-resilient-distributed-systems-1.jpg,"11,5","5,7,16,42,43,39"
93,The Impact of AI on Software Development,19,2026-05-10 12:44:16.379869+00:00,2026-05-10 12:44:16.379869+00:00,3888,1,articles/covers/cover_the-impact-of-ai-on-software-development-1.jpg,/media/articles/covers/cover_the-impact-of-ai-on-software-development-1.jpg,"9,7,3","11,13"
92,Cloud Cost Optimization Strategies,7,2026-05-10 12:44:14.700195+00:00,2026-05-10 12:44:14.700195+00:00,3901,2,articles/covers/cover_cloud-cost-optimization-strategies-1.jpg,/media/articles/covers/cover_cloud-cost-optimization-strategies-1.jpg,"5,4,10","7,13,47"
91,Introduction to Blockchain Technology,26,2026-05-10 12:44:13.088154+00:00,2026-05-10 12:44:13.088154+00:00,2978,2,articles/covers/cover_introduction-to-blockchain-technology-1.jpg,/media/articles/covers/cover_introduction-to-blockchain-technology-1.jpg,"9,8","31,45,11,29,37,33"
90,Building Scalable Frontend Applications,27,2026-05-10 12:44:11.362530+00:00,2026-05-10 12:44:11.362530+00:00,4100,2,articles/covers/cover_building-scalable-frontend-applications-1.jpg,/media/articles/covers/cover_building-scalable-frontend-applications-1.jpg,"4,10,1","5,18,29,17,25"
88,Microservices vs Monolithic Architecture,26,2026-05-10 12:44:08.432585+00:00,2026-05-10 12:44:08.432585+00:00,75,2,articles/covers/cover_microservices-vs-monolithic-architecture-1.jpg,/media/articles/covers/cover_microservices-vs-monolithic-architecture-1.jpg,"9,5,7","22,26,20,35,38,1"
87,Data Privacy in the Age of Big Data,13,2026-05-10 12:44:06.827951+00:00,2026-05-10 12:44:06.827951+00:00,4110,2,articles/covers/cover_data-privacy-in-the-age-of-big-data-1.jpg,/media/articles/covers/cover_data-privacy-in-the-age-of-big-data-1.jpg,9,"23,7,9,13,29,33"
86,Understanding Container Orchestration,3,2026-05-10 12:44:05.113016+00:00,2026-05-10 12:44:05.113016+00:00,4859,2,articles/covers/cover_understanding-container-orchestration-1.jpg,/media/articles/covers/cover_understanding-container-orchestration-1.jpg,"11,9,7","10,22,44,8,17,47"
85,Building Progressive Web Apps,5,2026-05-10 12:44:03.510430+00:00,2026-05-10 12:44:03.510430+00:00,398,2,articles/covers/cover_building-progressive-web-apps-1.jpg,/media/articles/covers/cover_building-progressive-web-apps-1.jpg,11,"42,9"
84,The Future of Web Development,20,2026-05-10 12:44:01.781482+00:00,2026-05-10 12:44:01.781482+00:00,1490,2,articles/covers/cover_the-future-of-web-development-1.jpg,/media/articles/covers/cover_the-future-of-web-development-1.jpg,"2,4","43,17,41"
83,API Security Best Practices,28,2026-05-10 12:43:59.975933+00:00,2026-05-10 12:43:59.975933+00:00,212,2,articles/covers/cover_api-security-best-practices-1.jpg,/media/articles/covers/cover_api-security-best-practices-1.jpg,"2,9,6","26,3,17"
82,Database Optimization Techniques,3,2026-05-10 12:43:58.263450+00:00,2026-05-10 12:43:58.263450+00:00,4602,2,articles/covers/cover_database-optimization-techniques-1.jpg,/media/articles/covers/cover_database-optimization-techniques-1.jpg,"5,8","10,2,1"
81,Mobile First Design Principles,8,2026-05-10 12:43:56.491167+00:00,2026-05-10 12:43:56.491167+00:00,1222,1,articles/covers/cover_mobile-first-design-principles-1.jpg,/media/articles/covers/cover_mobile-first-design-principles-1.jpg,"11,4,10","5,35,29,4"
80,Cloud Native Architecture Patterns,31,2026-05-10 12:43:54.195144+00:00,2026-05-10 12:43:54.195144+00:00,675,1,articles/covers/cover_cloud-native-architecture-patterns-1.jpg,/media/articles/covers/cover_cloud-native-architecture-patterns-1.jpg,"5,4,7","31,15,11,14,20,12"
79,The Rise of Low-Code Development Platforms,27,2026-05-10 12:43:52.222545+00:00,2026-05-10 12:43:52.222545+00:00,4070,2,articles/covers/cover_the-rise-of-low-code-development-platforms-1.jpg,/media/articles/covers/cover_the-rise-of-low-code-development-platforms-1.jpg,2,"16,44,17,37"
78,Building Real-time Applications with WebSockets,5,2026-05-10 12:43:50.231433+00:00,2026-05-10 12:43:50.231433+00:00,468,2,articles/covers/cover_building-real-time-applications-with-websockets-1.jpg,/media/articles/covers/cover_building-real-time-applications-with-websockets-1.jpg,2,"31,23,22,42,9,48"
76,Web Accessibility: Why It Matters,27,2026-05-10 12:43:46.463292+00:00,2026-05-10 12:43:46.463292+00:00,1373,2,articles/covers/cover_web-accessibility-why-it-matters-1.jpg,/media/articles/covers/cover_web-accessibility-why-it-matters-1.jpg,"6,3","15,44"
75,Machine Learning in Production: Best Practices,29,2026-05-10 12:43:44.508100+00:00,2026-05-10 12:43:44.508100+00:00,4412,2,articles/covers/cover_machine-learning-in-production-best-practices-1.jpg,/media/articles/covers/cover_machine-learning-in-production-best-practices-1.jpg,"5,8,1","34,24,29,30,32"
74,Agile Methodologies: Scrum vs Kanban,6,2026-05-10 12:43:42.269289+00:00,2026-05-10 12:43:42.269289+00:00,843,2,articles/covers/cover_agile-methodologies-scrum-vs-kanban-1.jpg,/media/articles/covers/cover_agile-methodologies-scrum-vs-kanban-1.jpg,"1,3","5,45,24,8,1,12"
